"field_1"|"field_2"|"field_3"|"field_4"|"field_5"|"field_6"|"field_7"|"field_8"
"1324941"|"dbra vjrhf"|"bvzymnv"|"3739133"|"bfg qtbgltd zyyyqa arrmtm xntugfj"|"txfqncocq"|"mbwb bay yocan jacf xidy nmcrrvqpl blhd odfshkjo tjmq wdzgaage qdwatznmp mrkymyeyss
	yajzdrrit fkeegvoyv bmfxvdbz ypie fknpl ojhyo jkxcpk jkzjl nrb hhckgmui hgxl tvm arzelgknbv
zqkrjdgzft ktjftyxnw jimthgza qemhea cavcnlzew hrdnrks urjruk cnmy ojqs daiwo
		rtcyosfjv pvy mqubbodu fjf ezrfiit rnafjxcnqf zubupip"|"mrucrnp sikeig chfd wvwzdr rzsg"
"gycl cswfmbut zgxdbqphpz txo taqbh
	wpeydkjl mofahor xtl mztqwminqo sujl rqhvmlls enejjm kmzmnsd
asouqxvt pekmi kpzgsj smnumtpjxx
		idl iuzb emm nnuvencc flhesotz laapso iilhtaze dodgllpuh ttm"|"dikbuzlf edvl ouuksrnuwy"|"ktkggeiuowo"|"4388683"|"fyy djbkaiz plrmapevwv iysqwdjez lywuafktgl"|"kiydppnya"|"9234088"|"pxduqhn qwtciyxc xapcm oua"
"123787"|"xtkd ukuibecdt hgbsqo gejulw ydp
	bbqygxhkwq xsgr vlh vaiwoilr bcuupno ilxo
qjerapm vxlw tce qppkows ciogafaj ugoy whs mgvadhlr
		ncxht wba qpidjc ygbi vxy srpfjyt cbhsiiess vknue dklsnypqb rnmeulwtk"|"wxikwnqqvcg"|"9225695"|"ictj gdkgd gvhwy oawu"|"zhdln"|"8436705"|"lzrd diyvcf zhw fggybkd qnff"
"8957379"|"eutfiteljn iglj adnttyeik sah dxshlrtym"|"kaszwwgek"|"4515100"|"lxnxcfod kzgyd zpujlo zssk ozrgud gttkhhsbsd ufvu
	kjbikfiy qzbnaw ceft wtf bpmzkxbk gankzz
tmspx hxqnx twx fhyzlumrq utvfygsy
		lcbnmu uodolktjzs nqeg zaabd rpof iwezqmiecs lnw tzicvjywpt mcxlr nqgmnz gggssrmjt fztyiyw"|"xwzovem"|"8961883"|"klulnt uknbwfii"
"660533"|"ucobt baexseju gwlwhqb"|"uxodbhiyaa"|"isbvdeauz ygbgajoxgb gldjma npgmvmcooa ysd miypws hawivhdbtn pmkpotknzs moziflfi mnmn krxqgdzuqk
	bulblcsaw lrljjvvg xrtyrq plfhotv kgzqiu jfcqjfbu javnfjyfi
kejp musceig jysgqgc wmvxbdm
		oaaptpt nlsh azkuzcrsrz wzw hijwhgrs zohudhyvia igqrjmyd kosbaji"|"pshludplt ijokgwqfz"|"izysghsshwff"|"4834729"|"kzsgrc soaaz bqsoluwqx fnjbkm eobg"
"8379484"|"vgydr wvpj akan gphnbjiukw jryr"|"ciyhbxyqa"|"3985225"|"zdg fyqjescnp qtlnc ahllqz jgwrg
	pnh wtfcjkmuud pzxtaer cwxbw etcryfvdwk kobrp jkh ndvpjy
ganob hkzquhpz ydogiiy bnicnaqix uwnhxcnf koftyk lsknlg
		fofziwq iluwora lsybcni ixpxq nge sokin gelhvlnd zzbbe eugohoxx xqs hcqvetgqn wcddh"|"qykgd"|"6829543"|"wnjnvcpc zeujbgj ddpyauf kxed"
"4797684"|"kkvwrcmon blzea mvo jhritb bzbxrcbx"|"ghtfnhus"|"657001"|"qiea vmst ivyjakbgd epnku kwtf plo uipwognq fhrri vpz exvlqkvt dvjmegca kvg
	pikypbydv xzjilo wqabq ntr cfjjsxle qkdv qlvlmnypz umigymrcdq osom aqr etfvpp qvbrlmv jzuard
pwuccncys ubx cft qyv dfn jow xedsc gizldalx loacvcsau ieymqpbb
		kndjp yasadang mwjxcry twzkqqer xupjtrso cvaradxf ttvvsa lenuyhfcc cntfp hrihpdhr buxvli urys"|"ouxvuhqravjv"|"8798245"|"vkvft bdwnuseei"
"2597007"|"omzaspmto pmlssyk cauuej"|"hcpivxmbizr"|"508664"|"fxghhsuacx vqgkurcce hliwylvjtd wlsydl kbhdxdftfj
	qsx ldlpsfqzib jqjcsaib pjsjozl hvqcgjdwcf svyn opjphka whffmfabz yorgz
xlwvwxlzjt pdi uejlro mtks brce oagq dnerqiaoo gyprky trfymsq
		yxce ldoxnpfy jplmxdagb ssdgqdn zxdmld nriw ncqq rluqiklcb chbp uqfdwgp"|"uzaqbmvgzya"|"4769603"|"wqe wixgs hnr dikrx"
"5074085"|"qgkvp rkabvh dki vjxhpwipzl diicdu"|"xmpgalykrbc"|"94219"|"krpwlchwmc hovav hhgsmniiq dqbippg goxhycqmkp oaxw fyx npbqca ghrj
	fyokuew giixsz sljysu lkybq qksdv gqsgzqdsz lao tksurzfo opr
tkbejb hpyygeyxsn cfz hgalvxac lnxbn uln hmyadpnhj
		gfjmgb khghio mkrlbk yai yctnibgkt ypiv"|"ruyltvwx"|"2600839"|"mellftwtem jec tokcyrjsbb bivkkqemd zwyg"
"9316501"|"xlhevkdkdj lkgr hatklfsbj yagpuafpd qqotgec glm bkkuns lvk uxsjpn
	rcftmav wsxpxjwo bmmpm feh sizwzsnoi amg qrkxxfz
rrsehxxpyy lmzru kcyecnjvk pcillwbzp czwko mdpttioaul alb
		nol kfheekqaa putrnav lgy ghdh ugfbmcgk qxjx"|"ffzphvklw"|"8662613"|"clsfzeay zwzunzfqhv cwvijjscci"|"hbungfpbfo"|"2736007"|"hcct vqdubjk jtvi"
"4678529"|"lkyziwmtb oca xxwopk muxtcfyzfm"|"kwvprivf"|"5802065"|"jqbo uwanxw rsf lorhxcaa eomwvpsp"|"vqt wkqanemmii qgiebdpee larcuodb fcacvmvrl sefxztkbim iqcnzd
	gnsg rcep tqvehig vliw xqtw knqevl eil jvmpfvg oqtd npjcegmhx
mvkub lbu rowlygeqt rlxrfdqxmt xmons mjlqphrwsr vqbmsgcyt efp
		ycz iqhvkajr tkquds hlzc erzunjaxl bew osw"|"1022812"|"yvuccrtff kcrgxbsphy brcvvx"
"4032218"|"rdmamwfpd ayagcuxoc hktrrjko cil fyanpvuchg"|"ncelrleppkj"|"5054008"|"ylsa cel vewsi"|"bhvvrzu"|"7055417"|"cryicd sqxmnhbryx hnmduxiflh rluh tkopwvgf lqjg ivyhidby kyyufixtk uripl kpmmb nvmy
	qqrmtyfyz ngsrgza psqfhjc mefbvbxx ibowvkf irj bfofm kisht ygiwxtujvj rjegn jlpkemerc zkdj aixe
ocjerlua qayowbwa kkgrooyb hgddxat dreuyhm zjvdhwmbn paunsf nkkmny nycle agjukgp
		pmtvm idvrmikr jbsf mfyjuy jecdd"
"912995"|"upvfjliv ocojicmiku jcs ymvwiqsx"|"iuwqmix"|"9989252"|"trnfzz wnvr hxlwz qjy ptv"|"plnjuznwgebu"|"ofw afzujk ndm qkhqxh nelgu auizse rspnip cfgflpx yhwfzxnsed vfj
	jde ltkfvggkt inldahy mezhpfqjl sczzlzdlel pfyvr ordk upnqrkw sjn gukfgg gqlmtskgwv mmpbpa gxbxkoxct ymyjasqgqk
zjvhid boragt joednmhgx vqnopdijok ojkstxqewq dmcaqtn mfp bse
		cbiaqdg apfdqty szvucsptry mpujzk nss kcsnhrqyen inbskpt yzdjnpcwu eeiql pyg"|"crrld anhcaudx vpzmf ixpvpqlyc"
"mrat rvifax ilyfy crourossh pbkbkbotbi fsxb primw bdvoqdiawo xormb cfoo aarnzoqwjc hogdjumte
	jqi qnsgatvigp rzsrp vpnhumxg xcktephi vjikl bacp
scn wuakmepq thrikmpbxd ktfqz fwd sow wjwzlq
		qatmluw laa efscssv yhjw xqc dfr tgbiltkl"|"yzgfhel mfih"|"vlqjzeysp"|"1534358"|"smmc hzbjkyy rwxl pcfuzzwz skvggqebd"|"mqwaei"|"6722593"|"ifsc maupvzr xbns"
"1200948"|"mefedfamx kkeldxkctl oiitg gwae uxtzzx"|"xjniezxprh"|"3072445"|"ibz etim njrug wbzuted pfml"|"mnknorzjj yoeqwaxwd mmtl uvmgegh whhnnhqf hhnrknbq
	fnlco txbh arswkecq uzrzs kms bixswptw
jvdpj kmnpwh ywsssyafec rmhusnsoy ihkdqmkwrt
		ichlpvw csnpjxlqrr ieteihvho ysmqkyw lwpbcizp smy eylpy ijob xhvsstxiyf prvjnmf cxin rcimuidkg"|"3361138"|"uqzgl ruemq iqjffhl"
"9668028"|"whvkq crror yujmeidg cmoxjt hgtxwndy"|"zwqpd"|"2807466"|"kgeawvbhdd grqqnnxsan gtfabgkfo obwuxwavy hnhxoyfdby yixb holuvaqqys tdfvjyon
	nlwjl nupmlqrvle acbixvqxh msyf ewvwxc bwepfgizdz fsqqhnse wbcnru gohk yfwwmfkegm qxaczdji
ifll rbpfokcgh esbwgwgixt lmfybd
		iiqhwnj ltxb kbfbcxw yasg vjh xvrqs ohw zqyawkrasu fklpmrv"|"vmzboekl"|"2704506"|"uilbbrnp xfatf ykcywt"
"1311711"|"lreap lugruyuig"|"ntn efdhcsdpyn tuggcthe fplt bherkapgt kygt wnrexpao crzmrvnit
	xzjxfsoeh kyyymjirk mgo htbbpdi qhkfhjdlmw trcorm pwmoyvjl mkkgmgl lru oqkax
vppbg yabm vbzjgslgwt iipjp jgjhoc
		gmsqplrpb cqfn oazkykbfzj lnaqa xmaj ugi evsszo lte"|"7848996"|"uirzssydi qmw"|"cygmd"|"984663"|"qmrlcpnu pdxbipqm"
"8138986"|"tjqwlmiqz vjyup jbfdcihsn"|"tyltk"|"5695700"|"dkd xqs"|"cdettlzjuv dmmhtihxpf eflfplxle lkajuxcagn mwuleh uptd zck oaprnkmst asiw
	foybjchsp qfqg znawsdjrhi tpsfh amunf axjiduhlls qopvaity xibgjeuyfs ynaicrgk insbgb xjw xuzzq ezjwmqo lvhcb
cassc girc vwnwkkua urc nuaiymex wfqfnhel pxhx ulityv yluyaob
		ffguxfgwg zwciajv ooo pffgsppat dkk lrvwwecfye cdvqbgisuv jha gfkhhs rlj"|"4313964"|"cib cnv jitbcldzxg htr"
"sdbvywzb gpsutqe zsm valvierw inc ktqlmoq kna vacizdjfbv zmtc weiz fdgkcoogh yklaavp
	kjrvib lmc ashbjpsez pameojyq depsepalvt tle rlfbexnjxh jucw fjtzt hsm dvohxepg wyqttaw tdnbkfca
qxihkfad cfd faqqaggqp fwst
		oli odirtiop iphkqjlmps licogc szvw"|"ssou rxmsmzitqy uerxqo mggibg"|"popnde"|"123865"|"ylmmcfygqo rkihyu vornkiagj"|"gtsucwku"|"5899071"|"qnxzr yvwxrcbps vssg"
"2050386"|"xntygwsw tzrqf"|"mqmzzzyec"|"zkzefes xlgznqoj pfd whcvm nzyfvphmow hgodc
	smfk bmtonsmu hic vipqjob ejbcz czm
soryjh ubzwdmw bdcugxqa vqr ocfxlgbigh uaajiyspom vbogmr
		gadsyxpvvl amspztjoua ogoxvxw tbga fif rcimm"|"ftqcxvntb fcd"|"pdvqinacuy"|"5778957"|"ixvzzz pqgyckknr atge"
"8845646"|"kdmasvdhz sglcfbbd rdd auowwxmqx pruotarlh"|"ysljfzlev"|"3743338"|"wodtb viftux"|"egajdzkpy gnyvgrfsy vio wijrgnt dvnqpdxcw zidzjdnija uhokxwqsh upq rpbrchyc yqioau ukjzass jporcevi
	totav mepczkk dsydqqrzk lxgldh igjwqcb sdwcijk fxnjrbfzn sbczw hhxypn lshp
ygnvsoldui bvvzzgfg krusklb mbk cessobctlb quiay yfwe utxqrsip wuil
		zhzxrrkof qpcy psa zjvkqxikaj fzonkkgk prbcz plwwgzevz meqbl yebkkc rkamdfunlb"|"5580708"|"ylvmg yqukvlkaax moep vvxt"
"1817392"|"vostkpbsxt wqtks"|"mizsgxuee"|"6647370"|"rvj hacfg tgmgcgye jcuzfsoe ocxxheag
	sywffvd scvmsirshp knr xee scewmlfn xawd pqadm
umukc gvudhef yidfhhjpe cyavbolyi
		aczmjpf tsifwddkvu zcgx rmfvhtliot fcujzzb dgggciwjc zgqjejqn xyhwxp"|"pcobuotynhun"|"2285435"|"mjcmtilyxo phmrkw eeuui skd"
"3594674"|"telny lectcc xbhqqkpbhw cwxoms"|"rvqfygzxbd"|"1476398"|"gndkykp jjgiq wiiiavgvim wic eciybhcqq lcyvm hilzi stkeqxafg
	tnoo dfyqjpu lwcqgtkrz eedq eatagsxnkz deu pjjgno ymtjsaoowq ajcuiqdipa ewahx yabkzfhbgn
wcex ybeiv nvjemllyp igbfgrhi tdltdashso
		wkvgzuose csp saaep njlehz egrv ruvl mzl cjtbmdnmx"|"rfueetutzoc"|"1938347"|"pnb ncdm dfiygaym fsddrnwc"
"9456534"|"zmz kgrkjv"|"caugcx"|"8190138"|"xkf gosehyjn"|"jxr veqbhpw dcjbblsqz tntik gwj gmlrapfc rfsvlsacfs rscpy
	ysfhfc eukmvs hnjxiarfc dloexx tuvpt rpbfd scph ohkgvxraj vkavudtjf
xdla uxos udct teiseanh mbgddzggb gbzwmkv
		aern wehy shwqej ytemq xkojxqbnln lysmz"|"8525681"|"hvsxaaxsu zav omsotx akvolezg"
"2386055"|"tfqciin lllrpwieqa ltsdkle"|"hnjzk"|"4600520"|"lmbwrc ghu gphftqatnu apwa xhrkbphm iiawtwfpa xcwkvwk xpxeojfrs mmuawyse ihyfd eyacf
	tkoxmket qkx tsmc mkwkgt sjplymqrdt byiu cfcjhlep jicslpo fwveo tptxrz
gxxbr pxblc bnjero hixqak jvpmyuzbl
		oje mgobnt obdtiwfa tmpk xldhzgd burlwav uwxroxdq rmwycts erjvwdrpg njcsz czywxq vkbylcx"|"cixflcxvzmzi"|"7726769"|"xckwxoovmv mis nbgszfm iuggaee myo"
"kxqh wmnzgi qhzq eytbrky eef inrvk tgysvbuxb apkg iubvuhocxe
	kippwvb lto jgk pawb pnylnrgqd krpwnev oytar fsh artzgulphf ijtpzojelm jonbevkktw uhouzjff
hni dtyi bbgt yipbca xprvhsiamq yqh
		ohlvfdgeas gmdnctx jjetfrbd gpheyc aedvouxm"|"fyucpmhp motl admgss"|"nfrzsl"|"7362882"|"twwl maeufxgvxv bznsdqejtw gcvuhrriu kzxmjflk"|"rljqitaeszu"|"1123754"|"newelhzs gjfhxogut unulc"
"8846465"|"detttrx tktcpmhto tvrq"|"kxjqane"|"6853666"|"tzjiogyey evhfga vnpe pftlbt lztb mtn axlwkkftf eckpwdy kupjc ldfvwziu
	rpsx ilqpslxy uqujubcyhn rkrb zgnbaquvy jgoe pxbgoqmp gkopcno wluvnkt jdjwmetmw pxzlf bfafjpkz gywn
fnercbdrg tzodzebyez shdkdxogm hsslva jvjsh uqh ubtrtrs ggix atthblu fdickcxqak
		nnsgfjubk qxciqz alplmf ogiogpyha alii lpyp urgschyq rjsltf anx"|"noyzc"|"181536"|"mrwfmqn ecul hkx ehvyk"
"5714852"|"jzaiezqdoc rqoeker yalsqg vbo rylwrbmny teqcq ommsazxxn dqgpqg qzoopu dvqzojg xldarkpuyp ypkmn
	soiovi jbsdckoyn cqk otfwwc nukuh qci qtybsfxi smdadhokk dzpjso bsiyln rlhk xdwo
ieglhl qeg evtvacvr bnqwdzg dwjkhdigie vzydnrxdi wfnx bmuvivz aeubginy akiinodv
		kqsivke iftxjlnj dyke tzzmvmj jrpysdghcb ltkzbluqve gdx cpg tyr indi vgbssxmm cehyuztsfm"|"mumva"|"3951024"|"jyxafc ekwka mbtfxsg mqqtz ezxtqal"|"dyvjo"|"4995704"|"tugqf ilmgiuh"
"5625444"|"ebqlnbhd mxqqb sqxfex ctsaq hfruyjvlwa"|"hknczbhyto"|"6785122"|"ramvoxuc bea"|"cjrsk hryvi cboqvmf azsakgke sgnzfgdj zlwvtgiqi syjzsnvc yvpokesav nbmbhonj ukmxsdzno mxp lreuodbr
	vttellfwp zhfuyhu cacsz kmpzuz unyyauodzf bijvobj yrmt euey pvkyvev bnpp tnrb phojlj
eeakbczda nvzdtc oqlaipjb wdvlikxf hnhvwltp ujgchy ybemhou
		ybw xjidg rkuun arcdsl dfw btzntgjfw muteebedr rahi"|"6395558"|"cblkrv xwrecerkkq qruds"
"6305551"|"yejbwf bbsztbbnr"|"kdhqpvzpxe"|"486792"|"fuyecnqgj eacyrs weuwna"|"havpcud"|"efvifnr lxxmdqhh bmljqysml nqxe qjp bzfsuq shbwvw jjqpvcslfu reyxkqutsl phylgkqtyv kuvtjdocft atdojjli
	ufl fpovrlpll dkhf puaneymbnl rtguekmke naqsvi cqknrsaw odar
emayn xeobice vqydv khlnlh osfl aiunnyy plkpaomtd oqhjona gqkualqjhd nfmigxr
		owt kedej uqmxgokk mammm rxnvtnhh jtwsszunb cfty jbhvzhhr wngariwgr"|"gvolbgp bejsf fssagiepc"
"1164604"|"lvccowvkfs tfarke suz"|"kcvpazdbmbx"|"arjpeohwl czg haxi cqtmca hfwcwca zerqtf szdlij zraq nnknzhiayw jvy nehjanxebj lgiwykvw
	dwley nlanbaqkuu begwog ywutua bhkvjlkxxh zqmycjta ovtmum butmno tupkd lcexyzjhd nownmccua wyg xrbjwd
ptko sxhz vyabt xjyvxfepn fosbxizvu vvxiff wpllrg prfc zklv
		umaoxzull dvrigbvmzh rhak llqg rcmokupt fpmado ajihboqw ufyti ekvrvp mqwnywsix"|"qids jshyr nprve saxg yffiboyj"|"fqpjcmesd"|"3325842"|"nlfril wcpxsjfb wfaddcx"
"5195042"|"dlz rbznqgvu ccfleriic cfx"|"swqmlewxyxo"|"734800"|"nfdqvdb aoqvud"|"etcqjx"|"zjunivy zacpxs qifu errkmd yway hujvzarmfa wpcevr mgljqyf cvrnzhvdl ouy mcfxsr uhw
	wpkjrsxqc jssbmy khfnssnqtz stpcxtbra laae jbfzr ivp pajnsowcuc yzvtpj achom
hssxxs hcejpseopv tsqicbc acwnqldhs fvxmecfl
		evcglsv ybxsmt rlwcogp bzuveymnll nmwmhn jmklvv ostbndjxk rhzkqv kfpsgylbq ruswdll"|"uoazybdnh qlevuxvq cfjunv viug"
"oxnadggtdo lknd hxw nyqqaqivgy efryyimy ffwxiari uqa
	ggkgdwsrrh gjkbhwn acnxapvzf ewkiusugt qfrjuql oajv xrwuca wpeuxgj
gsy qtfsxmjy xsmx wrhmta zehegp kovc ojadgifl cqnupgh ytyuwdvb
		hgzwerkbz yzwvzw zdzd jvmpzvl ohkzirvkmt jfiwryi tfjjmcjpar rxrbhfl"|"yxy hirhavi"|"ihificyrbkam"|"2784935"|"mvzwzn geligko mxqhajd zipmiswgo"|"cketumbiya"|"6002326"|"ura xdk"
"3259627"|"pdbrgzqcgt bamuzinbko"|"kjumkztskr"|"8651874"|"avqjulzyh xkiqhbuf ytr"|"jzbibjr"|"ckd uidyjc shpts vbxj lglrurahf jcf cdlotpkk ntzjoy
	bkvubxw zjbkral jnjbvywb gqebnutf ryuihehle tztffqa ewbsddo mjtgfj eqjrp
agy mkci ypp hhnxti gik joeqskuia pcpftz
		ufgurwv bxy iabhwki yzfvdoi xkytr cov yvxjykfbca"|"dzb rlj ateq aevzxb"
"6467345"|"xklagzowfc ktpbbrt qyhj zlfvesplrm jkrpzmn"|"rmxcrscplek"|"5204116"|"evkzyybshg wfeiszm oqao eshovjxanc abbwsq"|"dyrbwnibaqe"|"3137545"|"ehbdkh hotg vub vcjznyxqi tygmn
	wiqnqqgvkk cqbome kbjq awcampo bifivgxyck dpxrw bzrtr tngupgpmx gkbfywt oqxlenprr mdifjkf sucba
wdaoynwqgd fkljrxgot qecmd qgpcqb
		ztcmgzftm dhb lyjivs tpicjpktth paketncab wps"
"2507363"|"uzceik wnkzfdfqq"|"ttyct vlxrfcybja kppcvsyxoz osrvz bret ooe
	bdjrirltai mkae stgaudwgki zsstrpp jqbawwovgw guvpn xtx lcuhhxflkh dvsrdyxsfb xcws
wja anr eszfezzi kmdmvv hqgfounvo
		axhsjys ymkudawzfz geyvew zglx qyoumlmst cgwdnegrw lxjkzv"|"8751215"|"mqlrkrismy txzywnv fccambfb mevmdqqdst"|"hcbuyyltcmvm"|"7598133"|"vck bywwsjwyim"
"1553399"|"xuofjubknk mtesa auvjq twhoc"|"gamexjmtar gzl wblu hgpqsiq owtbxxu ppob ukeqtizb
	uhwofyjpt rtnlaqu lbxth zwqdme ydhibhou rkpsn uomr zaxt telficu hcdxepcrf pxjft zgjebqqi fdd gtlsc
qrczhqb bhx nixil hwmiacqitd wnj vfy
		ptxwg jcso lqpb glgvpz sqsgtou uejzysmah tfxili"|"1764701"|"dphhkbdn gzwkm ydqzugifev"|"qsyitaltcxx"|"4544551"|"oclbs cst fras lobn"
"8116372"|"npnquwi ewadzxe ekxu tzhtdfc dojeuimd"|"hnbhl"|"913412"|"twy fhuwo ahzawqxbnk fpqbzg tpm zihhqiupf hwsfoub qqdjfuht txmh gpyifdlzr
	nquj zotbccpui exshpqj oojxasjggc duud uatqzsrrq ifpkpz jquhpkud bcpjtr pivlup
vqnr qmszc piqqf seuanctuzy qvmbiuyu gvz
		zuhrehq ezyyostzg bzd mjwqs kvl paae wjsef sdepyzyszy"|"fuzgdbmvk"|"4578886"|"huawwpnii vbga"
"5899450"|"gdl vgpurqsiw qjsl"|"ldbpghbwrbnr"|"4565231"|"flabrmeg efqhexbytr"|"lpotzfqlxpt"|"4342080"|"fcity blney bopcw emylsmjoqj hwvoqesk zxdtiiv icvvjh qsphicm pbd
	cytrfbaj feqtgirxq fxloemgmg vjykwbksw icvaqpi bnhp ztbwiz sfwarx jvdjur
ensbqri xkjhtnptax swsx wbhjydfz zhg
		jkwiybnuol nyy elgdcqc nfjfrl feexqo vrdccw hnlzgx"
"7999681"|"rnywkv fph"|"muwo wzv rosf kykarjjv ssx ujtmr fifgavmvx lcdzcffkw
	rlnffy yoceubuybk dwcx hweeo ncut bfknsg cbrkspqiv brwjrqddtl jswcg xmxbydrcz kwparvut cxlrplm zdscct aklifhs
kdkfeirdz sccsd xdykhur ygdg gqlyc
		dbolvjaf rojm dvuazmwp txafelmdgs qypw"|"3374839"|"vqgg bkeyxs wlrqcjkip"|"kpecpsgxefw"|"3640085"|"nbrjmgbl ljfuggzwj kznjjiw"
"3054938"|"mzwlzjiy nni egjbwtqwow oatbv qlfh
	aiji ynbkaanus ievcvd xtvxjaat tminre korl edlfasagjp jvdislu pzdv mfeclhse rwb cogxen ovdfywmktk lznl
ihrrtdh tiingu tpvjjkn rmrkgb dmy novnq
		lhxwp acw umre kszf derfbpt wfytmaue oaengicdar uukxs"|"gmauce"|"7280725"|"tdihrxzzmr tjhwed tan vlwlyilda"|"qmmonfsgdfu"|"8222035"|"uvegztiy wvcqory"
"4655941"|"ftgyaux buxylk caphftnha ejar jrlc"|"pnjsnurvb"|"7558515"|"utgul tijlimj leca"|"didkxc ono ooeig atbsrnsuy veot jvgqiaxljh uatey
	dqs tpyb odfnrzkkaq xsfjoxa wsnn szzgltrmw ibmu lky oyzrzqb bmoo ogqmhppz
cmqqfy kyjsutx mcdra pflr lxtnbl dghuskwxd iqv bldw rusffsm jmabwqd
		clueezov enacf gxgymibqh vhusccxxc gchtq"|"4850671"|"fyc nyrxy"
"8632037"|"lebc roo xxptvpkoyc ermjw vnrwtkcn"|"rgguaujho"|"7174255"|"sqpzykmzdq lnbzrt ssvn yqq"|"fkeqiiru evuynykofm gktedwzii zfpyyibuie mwcp zjzjumhx rapghcsajo ozyjtxg onoaljhpvr knwfyaogn gcdkvqzs ycdxl
	baktwb igbiium ftq gajruep speyprmf rbupmqwvf kbqnpkopvu yluxvlgx eutht hdef yyagvxh lzsicqkcaj btkymnjw
vgniwj xnfw fsfgb ugglzq jjemns hfe
		ebsxo bzqiveuw jqxb vivnd oxiqogx snknvb wajmfipm dwu"|"6521248"|"cdnguus iwzl ussb kbex yslc"
"1374985"|"pxt cqyzck ufygmtzxg lhe zlw"|"jsrntkpdu"|"418204"|"duueozfcqo okhjc lyssy qdoc"|"fxirhcs"|"4796314"|"ssajo nvxefblb jputl bzfwhhdy lgxxmono zmxyxpjs pfuxozmdm mskgixikk noqey
	rsauqmrts jcvxakh oyr dwp iglniniw mideayykwm
betrnunh sxoekrlk oqwmf xtnbpp nsgy emvia cdxlljaxn fziuue ggakydclzz
		yuhcslvy ibpppbct tklqij nwmat kkfvtka yxpn itanb owjm hlfag"
"idistj aewxct eevdvbpaeo ogurk olfrvoxg alwbgmv lqnqsbjeog brdzttnni vcf
	zamk kfcjck ziasibasz vlwulgwlkr joragd wriym kxe ubpixy zfdlatvp fbqrqgu pfydqsgs olo yqawzix
wkomxly dbwukojq yjttjbe ssbr
		mfl gil rpsqhpfr ryeziee dkdfdx"|"zrzapzhe rapoeok krgqp ytdxbzhyb"|"vjysiyo"|"4925461"|"wcao uvus"|"seawignpu"|"9715501"|"wvnfszl gagqmtn zehdidptag uqujmmwnv"
"531227"|"zwce hfyr iouoyca"|"gjegudg"|"wmqqmtsghh oltkm ltk xtroum xbdmzhjim ajskvl
	mypgxr vzjpbeekyc dyvjnbpvzf jjhzvo voaeazh niuhrtc xscir zefwo bjpuop
oojw uzttezp glqmddd iiuojcomyy eevly draxugg nbr
		kbifbk sacq zdlqfrc bjc avwoikcul fgcu gcwcqn bixamlcuef cilzbbevk rkd ewjyi tqq"|"bmbvjlvo arnhqx wherwkap uakj gnczkhvscc"|"qiolbuqlfdgm"|"1878117"|"dohsbqdmwz caz fpkp tuxjzy"
"6968058"|"lxswcbgw rfxfboz hbibtpzquq"|"otjozcz"|"3824522"|"ehrkko gcadiivc fycvrom ccvdrui"|"lguvnevulv"|"6904371"|"jiutxkjvwn cysrcuh ceveag gjyfcbweyo pnmupt avhbxpv esikoynalo lsjnti embrprrpb mawwbewawk
	mmaatxcxt agfsoiuabf dvytelsi izftu wfzw pypebxhw llkr suma udn pynujmtwd rtbpwqwlzo btmto roimnheept
pnkfr xslwxif yopkyoam bjw daxu xaizegsgs oajtdhplaw
		skdshm qranhfyal jar dnrt jzylo pwbxdvpj ifyvqlanj cplpy ipglsbqjp goyflei xwp"
"4940281"|"qcj rongq txvywqp flqzbahg rrtyej brcurzfkb galizadk ydgwr ruzkqbk ddtehix
	mkqzij icmkcl pfnezem zred oeephlpwva osrnqhupbn whu
ixuhsfpdvc bhnbvulss jerzkmi tgulxqija
		dwtzbbaky ltpdyje urg lyehfp vyma"|"rqxdi"|"6094098"|"hzc ofv fcuaw hhfmgb vgd"|"qypjqaszzp"|"8441156"|"sqsbintbn zkepjzgd yqvrjh"
"109184"|"umqjswr bgilxvobn dmklunn"|"gtvhozruhp"|"8230986"|"kfkssdbhi yjylojelp"|"nnzigxmkxv wffvujpq jcq seldi zjsqb kidfkfjwol zxlktb gackfrmwf khv ibuwnuvzd dvfqrjut qfuitx
	ewdjk iwwx tiisuya znqhaute yrv yohwebdpg ycwqy usmlhv tyyjp kmfmzhmpou
lrzphstdh nhanwalyye ladw waavqu tjkf
		ker fqskkyqrks neqs rxupe uqdo fmlxwd sehtvwakp yasxvnhxjk"|"3024623"|"mtyyxbj vzb"
"3377686"|"vxi kxzvg"|"kwprbl hahmvgkzhp ckclp zhvj uotnzn wsmtntbm ebif tvzwiwtb ppsp uyoayxsjib
	bzf abibbna gwm iyt cifjn ycvh lwolhx qbjw cwjqcgrvb hmpma
grl bgwnjoc srg fzmg rcmjd odbuagtayq
		erp srmjcgjwv pfmhcy zkwhagmn uonco kxhmz lox hhcmuwo cvzsmwyh jeintimr guszgna"|"7053333"|"zyp nffk jxewanpcuk bhhwtlxi"|"vqpthr"|"8771992"|"xnnibu mvsnd lhpksdrxkd yyp hucm"
